time,open,high,low,close,vol
1616508000000,0.16910,0.17357,0.16050,0.16691,189591406
1616511600000,0.16698,0.17298,0.16379,0.16645,116561348
1616515200000,0.16650,0.17944,0.16426,0.17577,164927551
1616518800000,0.17584,0.18773,0.17577,0.18340,221180956
1616522400000,0.18346,0.18448,0.17015,0.17035,113223973
1616526000000,0.17039,0.17511,0.16619,0.17145,129792404
1616529600000,0.17144,0.17232,0.16240,0.16407,73534404
1616533200000,0.16428,0.16878,0.16172,0.16817,53160393
1616536800000,0.16817,0.17047,0.16106,0.16157,57264566
1616540400000,0.16156,0.16345,0.15777,0.15807,46345538
1616544000000,0.15807,0.17231,0.15737,0.16466,140176223
1616547600000,0.16467,0.17178,0.16424,0.17150,43617575
1616551200000,0.17150,0.17851,0.17122,0.17332,61575568
1616554800000,0.17330,0.17681,0.16910,0.17179,43676428
1616558400000,0.17195,0.18008,0.17070,0.17466,47106334
1616562000000,0.17476,0.17672,0.17144,0.17441,40474678
1616565600000,0.17444,0.18443,0.17375,0.18441,81867079
1616569200000,0.18441,0.19900,0.18410,0.19286,243746198
1616572800000,0.19284,0.19900,0.18750,0.19081,157197569
1616576400000,0.19091,0.19400,0.18441,0.18876,88104633
1616580000000,0.18878,0.19583,0.18569,0.19566,95795516
1616583600000,0.19566,0.19664,0.18974,0.19532,83521377
1616587200000,0.19532,0.20960,0.19500,0.20620,246625387
1616590800000,0.20601,0.22067,0.20601,0.21239,296065197
1616594400000,0.21241,0.21660,0.20825,0.21217,131344299
1616598000000,0.21221,0.21311,0.20051,0.20704,139039589
1616601600000,0.20704,0.20725,0.19677,0.20040,119754013
1616605200000,0.20040,0.20535,0.19619,0.20444,88594536
1616608800000,0.20423,0.21305,0.20422,0.20625,122558076
1616612400000,0.20617,0.20639,0.19117,0.19579,148030738
1616616000000,0.19589,0.19949,0.19000,0.19716,123729153
1616619600000,0.19726,0.19952,0.19247,0.19462,76256214
1616623200000,0.19468,0.19468,0.17304,0.18735,173048478
1616626800000,0.18736,0.20355,0.18416,0.19889,146439419
1616630400000,0.19847,0.20222,0.19067,0.19308,135624196
1616634000000,0.19315,0.19620,0.18072,0.18191,85827466
1616637600000,0.18186,0.19789,0.17986,0.19269,99087092
1616641200000,0.19260,0.19679,0.18285,0.18816,81815576
1616644800000,0.18818,0.18888,0.18411,0.18672,49409381
1616648400000,0.18680,0.19313,0.18629,0.18804,61328843
1616652000000,0.18812,0.19840,0.18801,0.19711,89310517
1616655600000,0.19726,0.20074,0.19000,0.19091,95654278
1616659200000,0.19100,0.19670,0.18832,0.19315,74864206
1616662800000,0.19309,0.19309,0.18618,0.18783,67923782
1616666400000,0.18780,0.19016,0.18500,0.18962,57770136
1616670000000,0.18963,0.19171,0.18062,0.18107,65827441
1616673600000,0.18108,0.18343,0.16801,0.17416,169970604
1616677200000,0.17413,0.17933,0.16741,0.17694,144425221
1616680800000,0.17688,0.18270,0.17168,0.17322,93981408
1616684400000,0.17319,0.17697,0.16949,0.17088,85125313
1616688000000,0.17082,0.17351,0.16608,0.17060,87692974
1616691600000,0.17057,0.17484,0.17018,0.17036,54863096
1616695200000,0.17037,0.18123,0.17024,0.18075,63460253
1616698800000,0.18074,0.18131,0.17490,0.17993,56428071
1616702400000,0.17986,0.18088,0.17360,0.17568,44302798
1616706000000,0.17569,0.18070,0.17525,0.17990,38287329
1616709600000,0.18000,0.18943,0.17860,0.18023,91890521
1616713200000,0.18019,0.18712,0.17662,0.17892,62218563
1616716800000,0.17912,0.18667,0.17811,0.18514,44400058
1616720400000,0.18530,0.18621,0.18311,0.18468,30908916
1616724000000,0.18458,0.18662,0.18041,0.18256,31924895
1616727600000,0.18258,0.18585,0.18242,0.18355,27919909
1616731200000,0.18355,0.18500,0.18000,0.18370,31751760
1616734800000,0.18358,0.18416,0.18112,0.18235,24674897
1616738400000,0.18246,0.18275,0.17750,0.17947,35868142
1616742000000,0.17946,0.19350,0.17851,0.19238,63846297
1616745600000,0.19263,0.19555,0.18900,0.19199,77857641
1616749200000,0.19200,0.19406,0.18545,0.18716,50986462
1616752800000,0.18725,0.19044,0.18432,0.18645,45741094
1616756400000,0.18646,0.18813,0.18093,0.18294,50156057
1616760000000,0.18285,0.18925,0.18172,0.18792,48967820
1616763600000,0.18790,0.19007,0.18594,0.18824,39710373
1616767200000,0.18810,0.18900,0.18512,0.18601,30662550
1616770800000,0.18607,0.18676,0.18353,0.18521,25816518
1616774400000,0.18511,0.19118,0.18430,0.18669,47498301
1616778000000,0.18664,0.18898,0.18500,0.18800,32109595
1616781600000,0.18790,0.18836,0.18178,0.18368,36509622
1616785200000,0.18371,0.18386,0.17868,0.18178,38268044
1616788800000,0.18176,0.18353,0.17973,0.18005,33610554
1616792400000,0.18011,0.18189,0.17844,0.18052,31622927
1616796000000,0.18062,0.18132,0.17624,0.17869,38063304
1616799600000,0.17868,0.18317,0.17515,0.18116,43519224
1616803200000,0.18116,0.18214,0.17711,0.17732,39581885
1616806800000,0.17731,0.18024,0.17721,0.17880,25806564
1616810400000,0.17887,0.18204,0.17861,0.18013,24361085
1616814000000,0.18004,0.18216,0.17924,0.18175,18505375
1616817600000,0.18178,0.18255,0.17950,0.18007,23604108
1616821200000,0.18010,0.18217,0.17990,0.18133,19084663
1616824800000,0.18134,0.18900,0.18116,0.18876,53663088
1616828400000,0.18871,0.18879,0.18120,0.18252,41387462
1616832000000,0.18252,0.18274,0.17509,0.17955,72058348
1616835600000,0.17952,0.18166,0.17863,0.18025,30051492
1616839200000,0.18025,0.18044,0.17700,0.17700,31224303
1616842800000,0.17700,0.17720,0.17113,0.17300,60498758
1616846400000,0.17303,0.17523,0.16832,0.17493,69300067
1616850000000,0.17505,0.17644,0.17326,0.17590,38556245
1616853600000,0.17593,0.17723,0.17433,0.17684,27157310
1616857200000,0.17680,0.17692,0.17274,0.17432,34516819
1616860800000,0.17438,0.17729,0.17428,0.17625,33315170
1616864400000,0.17623,0.17669,0.17324,0.17513,26660245
1616868000000,0.17513,0.17528,0.17129,0.17200,29553826
1616871600000,0.17200,0.17425,0.17111,0.17393,22362907
1616875200000,0.17405,0.17531,0.17214,0.17250,25143044
1616878800000,0.17251,0.17302,0.17038,0.17072,21474497
1616882400000,0.17062,0.17193,0.16874,0.16874,28107534
1616886000000,0.16874,0.16935,0.16347,0.16459,63810849
1616889600000,0.16457,0.16915,0.16056,0.16789,71528165
1616893200000,0.16787,0.17303,0.16572,0.17053,49873972
1616896800000,0.17064,0.17079,0.16528,0.16643,34124712
1616900400000,0.16644,0.16795,0.16560,0.16646,22439880
1616904000000,0.16646,0.17289,0.16646,0.17199,38106178
1616907600000,0.17201,0.17225,0.16900,0.16919,26290770
1616911200000,0.16920,0.17172,0.16765,0.17144,30264724
1616914800000,0.17136,0.17712,0.17081,0.17709,55033189
1616918400000,0.17710,0.18880,0.17591,0.18645,77398375
1616922000000,0.18645,0.19066,0.18061,0.18737,82870802
1616925600000,0.18731,0.18878,0.18066,0.18423,50175202
1616929200000,0.18423,0.18822,0.18316,0.18383,38727640
1616932800000,0.18375,0.18626,0.17700,0.18107,55789223
1616936400000,0.18105,0.18403,0.18023,0.18159,29917236
1616940000000,0.18158,0.18737,0.18012,0.18495,39645691
1616943600000,0.18497,0.18595,0.18196,0.18569,32708851
1616947200000,0.18574,0.18898,0.18151,0.18826,41054571
1616950800000,0.18826,0.19664,0.18533,0.19488,77141881
1616954400000,0.19486,0.20364,0.18960,0.19003,126792243
1616958000000,0.19004,0.19690,0.18979,0.19659,75046540
1616961600000,0.19640,0.20149,0.19058,0.19886,63451791
1616965200000,0.19897,0.20800,0.19646,0.20478,84865456
1616968800000,0.20500,0.21117,0.20396,0.20804,80955346
1616972400000,0.20800,0.21030,0.20058,0.20399,70220053
1616976000000,0.20396,0.21999,0.19890,0.21453,126479399
1616979600000,0.21442,0.21832,0.20800,0.20909,74549803
1616983200000,0.20909,0.21481,0.20700,0.20865,50793942
1616986800000,0.20887,0.21183,0.20680,0.20701,39710044
1616990400000,0.20713,0.20871,0.20249,0.20441,43934044
1616994000000,0.20426,0.21074,0.20400,0.20996,45614038
1616997600000,0.20986,0.21855,0.20935,0.21422,87611541
1617001200000,0.21427,0.22405,0.21201,0.22194,88592759
1617004800000,0.22182,0.22450,0.21547,0.21789,100849573
1617008400000,0.21812,0.22078,0.21278,0.21310,52437850
1617012000000,0.21323,0.22022,0.21315,0.21461,53434589
1617015600000,0.21445,0.21543,0.20902,0.20985,56231611
1617019200000,0.20996,0.21041,0.20388,0.20474,63775505
1617022800000,0.20477,0.20869,0.20305,0.20749,54326719
1617026400000,0.20736,0.21061,0.20372,0.20444,49508497
1617030000000,0.20444,0.20686,0.19522,0.19914,92387101
1617033600000,0.19917,0.20277,0.19525,0.20112,57944488
1617037200000,0.20113,0.20125,0.19590,0.19793,44258703
1617040800000,0.19801,0.20020,0.19562,0.20020,30560835
1617044400000,0.20020,0.20357,0.19600,0.19651,53524802
1617048000000,0.19664,0.19921,0.19375,0.19624,42369659
1617051600000,0.19626,0.19809,0.19490,0.19585,24545380
1617055200000,0.19584,0.19940,0.19560,0.19783,31766847
1617058800000,0.19787,0.20577,0.19735,0.20040,49740843
1617062400000,0.20040,0.20102,0.19206,0.19606,58081805
1617066000000,0.19606,0.19835,0.19439,0.19751,28887279
1617069600000,0.19763,0.20000,0.19535,0.19873,32322564
1617073200000,0.19872,0.20227,0.19628,0.20122,30637564
1617076800000,0.20117,0.20500,0.19653,0.19681,43907202
1617080400000,0.19683,0.19709,0.19372,0.19430,29511122
1617084000000,0.19430,0.19638,0.19409,0.19600,28291209
1617087600000,0.19596,0.19640,0.19095,0.19427,54330543
1617091200000,0.19436,0.19604,0.19241,0.19563,37641531
1617094800000,0.19571,0.19806,0.19443,0.19689,36261981
1617098400000,0.19675,0.19745,0.19449,0.19579,25850582
1617102000000,0.19573,0.19862,0.19561,0.19688,28251793
1617105600000,0.19672,0.19723,0.19411,0.19580,26356292
1617109200000,0.19584,0.19646,0.19258,0.19336,23366838
1617112800000,0.19344,0.19409,0.19164,0.19277,24891165
1617116400000,0.19279,0.19376,0.19104,0.19168,21543950
1617120000000,0.19165,0.19286,0.18804,0.18941,40602051
1617123600000,0.18950,0.19181,0.18859,0.18859,24828468
1617127200000,0.18862,0.19145,0.18856,0.19013,21170937
1617130800000,0.19015,0.19034,0.18846,0.18869,19238679
1617134400000,0.18864,0.19281,0.18600,0.19281,48286532
1617138000000,0.19281,0.19588,0.19022,0.19587,34438741
1617141600000,0.19571,0.19961,0.19200,0.19248,50408993
1617145200000,0.19259,0.19259,0.19010,0.19046,24148809
1617148800000,0.19046,0.19116,0.18806,0.19073,23772217
