time,open,high,low,close,vol
1617733800000,0.14285,0.14297,0.14126,0.14231,11411488
1617735600000,0.14211,0.14319,0.14087,0.14117,8744636
1617737400000,0.14127,0.14280,0.14112,0.14184,9317095
1617739200000,0.14185,0.14235,0.13938,0.14014,8741683
1617741000000,0.14015,0.14058,0.13850,0.14032,9227155
1617742800000,0.14032,0.14135,0.13880,0.13910,6605356
1617744600000,0.13917,0.14232,0.13817,0.14137,11407123
1617746400000,0.14128,0.14291,0.13930,0.14274,10467646
1617748200000,0.14276,0.14384,0.14201,0.14292,6180699
1617750000000,0.14299,0.14774,0.14255,0.14632,17541278
1617751800000,0.14629,0.14968,0.14519,0.14520,14814019
1617753600000,0.14532,0.14608,0.14413,0.14461,8382695
1617755400000,0.14461,0.14470,0.14097,0.14169,13277953
1617757200000,0.14177,0.14254,0.14058,0.14104,9666556
1617759000000,0.14113,0.14249,0.14073,0.14207,7074554
1617760800000,0.14214,0.14229,0.14026,0.14085,7785107
1617762600000,0.14092,0.14159,0.14060,0.14091,2799761
1617764400000,0.14100,0.14293,0.14017,0.14285,13108413
1617766200000,0.14284,0.14300,0.14110,0.14119,3943495
1617768000000,0.14116,0.14194,0.13809,0.13864,12611569
1617769800000,0.13871,0.14094,0.13839,0.14057,6110701
1617771600000,0.14043,0.14097,0.13951,0.13954,6089681
1617773400000,0.13960,0.14000,0.13557,0.13584,20279708
1617775200000,0.13580,0.13773,0.13512,0.13577,12557346
1617777000000,0.13580,0.13730,0.13508,0.13532,9210058
1617778800000,0.13523,0.13533,0.13232,0.13401,24271522
1617780600000,0.13402,0.13500,0.13318,0.13433,6065755
1617782400000,0.13449,0.13654,0.13328,0.13574,12587409
1617784200000,0.13568,0.13846,0.13481,0.13670,13698690
1617786000000,0.13670,0.13670,0.12872,0.12991,33975571
1617787800000,0.12976,0.13270,0.12948,0.13225,12342174
1617789600000,0.13223,0.13340,0.13074,0.13182,9325183
1617791400000,0.13178,0.13223,0.12680,0.12782,24724948
1617793200000,0.12767,0.13057,0.12471,0.12598,28769239
1617795000000,0.12599,0.12722,0.11811,0.12704,61588515
1617796800000,0.12689,0.12717,0.12279,0.12670,24908926
1617798600000,0.12670,0.13557,0.12666,0.13370,30030471
1617800400000,0.13381,0.13800,0.13318,0.13540,25254352
1617802200000,0.13530,0.13906,0.13400,0.13884,17746352
1617804000000,0.13899,0.14950,0.13594,0.14926,48993373
1617805800000,0.14926,0.15579,0.14516,0.15168,103608492
1617807600000,0.15168,0.16632,0.15163,0.16020,160396943
1617809400000,0.16020,0.16268,0.15335,0.15911,121657161
1617811200000,0.15929,0.16873,0.15605,0.16382,86715619
1617813000000,0.16399,0.16931,0.16116,0.16327,78113416
1617814800000,0.16327,0.16509,0.15140,0.15243,90789705
1617816600000,0.15254,0.15609,0.14718,0.14941,64953474
1617818400000,0.14942,0.15666,0.14783,0.14783,53736001
1617820200000,0.14783,0.15450,0.14705,0.15017,39536990
1617822000000,0.15038,0.15162,0.14525,0.14957,46579018
1617823800000,0.14948,0.15404,0.14656,0.15317,40421879
1617825600000,0.15320,0.15347,0.14800,0.14950,26543121
1617827400000,0.14952,0.15859,0.14826,0.15846,29033741
1617829200000,0.15826,0.15922,0.15251,0.15711,28582412
1617831000000,0.15712,0.16495,0.15667,0.15969,46225351
1617832800000,0.15963,0.16377,0.15732,0.16094,21364600
1617834600000,0.16096,0.16450,0.15942,0.16240,20800322
1617836400000,0.16243,0.16255,0.15768,0.15845,13703374
1617838200000,0.15846,0.15981,0.15406,0.15563,11202371
1617840000000,0.15563,0.15763,0.15350,0.15760,15661565
1617841800000,0.15762,0.16306,0.15618,0.15996,12377440
1617843600000,0.16011,0.16564,0.15953,0.16363,15641336
1617845400000,0.16356,0.16900,0.16263,0.16380,24197433
1617847200000,0.16378,0.17570,0.16378,0.17168,53402961
1617849000000,0.17167,0.17412,0.16756,0.17244,42455070
1617850800000,0.17245,0.17395,0.16608,0.16925,24239327
1617852600000,0.16934,0.17283,0.16849,0.17135,13975330
1617854400000,0.17141,0.17707,0.17000,0.17407,24981738
1617856200000,0.17406,0.17468,0.17004,0.17123,14151600
1617858000000,0.17102,0.17125,0.16676,0.16760,18618163
1617859800000,0.16760,0.16874,0.16410,0.16574,19108178
1617861600000,0.16574,0.17076,0.16564,0.16904,16265912
1617863400000,0.16919,0.17180,0.16595,0.16756,21091618
1617865200000,0.16756,0.17000,0.16597,0.16757,16014202
1617867000000,0.16774,0.17009,0.16515,0.16982,16082389
1617868800000,0.16983,0.17244,0.16774,0.16776,25679498
1617870600000,0.16785,0.16878,0.16402,0.16600,16842624
1617872400000,0.16603,0.16650,0.16248,0.16425,18157169
1617874200000,0.16427,0.16525,0.16053,0.16122,15791205
1617876000000,0.16129,0.16236,0.15826,0.16048,30555526
1617877800000,0.16055,0.16361,0.15978,0.16286,11564422
1617879600000,0.16285,0.16411,0.16144,0.16181,12615381
1617881400000,0.16181,0.16349,0.15980,0.16078,12725192
1617883200000,0.16075,0.16500,0.15959,0.16441,13155921
1617885000000,0.16455,0.16518,0.16036,0.16148,16137269
1617886800000,0.16164,0.16464,0.16044,0.16372,10023428
1617888600000,0.16373,0.16373,0.16098,0.16304,15546895
1617890400000,0.16311,0.16522,0.16250,0.16444,22835497
1617892200000,0.16429,0.16490,0.16150,0.16228,16520522
1617894000000,0.16228,0.16243,0.15923,0.16062,13785926
1617895800000,0.16062,0.16265,0.16042,0.16235,6880860
1617897600000,0.16239,0.16318,0.16032,0.16073,9112487
1617899400000,0.16073,0.16332,0.16037,0.16270,18132557
1617901200000,0.16289,0.16303,0.16029,0.16059,13473516
1617903000000,0.16073,0.16172,0.16000,0.16172,6269710
1617904800000,0.16171,0.16269,0.16058,0.16207,10390966
1617906600000,0.16216,0.16280,0.16006,0.16020,8536221
1617908400000,0.16026,0.16058,0.15553,0.15579,18824340
1617910200000,0.15582,0.15806,0.15572,0.15760,9980028
1617912000000,0.15759,0.15898,0.15743,0.15803,4653697
1617913800000,0.15802,0.15841,0.15655,0.15676,6632842
1617915600000,0.15676,0.15685,0.15405,0.15542,8724733
1617917400000,0.15541,0.15691,0.15491,0.15602,7857212
1617919200000,0.15603,0.15834,0.15523,0.15794,5938069
1617921000000,0.15776,0.15937,0.15760,0.15934,3899807
1617922800000,0.15938,0.15989,0.15834,0.15926,5550535
1617924600000,0.15926,0.16140,0.15865,0.16099,5050819
1617926400000,0.16100,0.16170,0.15800,0.15904,7219446
1617928200000,0.15902,0.15943,0.15782,0.15835,4334516
1617930000000,0.15835,0.15904,0.15520,0.15579,7716611
1617931800000,0.15579,0.15582,0.15455,0.15562,7557779
1617933600000,0.15562,0.15805,0.15527,0.15799,7157412
1617935400000,0.15798,0.15889,0.15703,0.15758,6540953
1617937200000,0.15759,0.15850,0.15553,0.15726,8884817
1617939000000,0.15709,0.15749,0.15551,0.15628,6119453
1617940800000,0.15624,0.15877,0.15601,0.15847,6751617
1617942600000,0.15846,0.15950,0.15787,0.15931,5273942
1617944400000,0.15931,0.16000,0.15665,0.15751,8910129
1617946200000,0.15751,0.15899,0.15711,0.15796,5617083
1617948000000,0.15796,0.16033,0.15779,0.16010,6641616
1617949800000,0.16009,0.16050,0.15760,0.15795,8536331
1617951600000,0.15803,0.15990,0.15712,0.15918,6145896
1617953400000,0.15918,0.15990,0.15790,0.15961,4575232
1617955200000,0.15949,0.16029,0.15835,0.15988,6672514
1617957000000,0.15988,0.15990,0.15749,0.15792,8505132
1617958800000,0.15795,0.15900,0.15725,0.15826,4493469
1617960600000,0.15826,0.15836,0.15684,0.15791,3692112
1617962400000,0.15780,0.15865,0.15713,0.15863,5843193
1617964200000,0.15864,0.15950,0.15803,0.15904,8276937
1617966000000,0.15914,0.15917,0.15789,0.15815,5460897
1617967800000,0.15816,0.15923,0.15799,0.15874,9383543
1617969600000,0.15868,0.16380,0.15834,0.16240,20404917
1617971400000,0.16240,0.16241,0.16000,0.16138,9524749
1617973200000,0.16148,0.16879,0.16130,0.16763,25340677
1617975000000,0.16750,0.16773,0.16230,0.16339,19442537
1617976800000,0.16354,0.16499,0.15928,0.15949,14355429
1617978600000,0.15955,0.16059,0.15742,0.15962,15085504
1617980400000,0.15964,0.15969,0.15767,0.15873,6508818
1617982200000,0.15878,0.15889,0.15677,0.15824,6789221
1617984000000,0.15820,0.15927,0.15540,0.15611,10020616
1617985800000,0.15612,0.15881,0.15590,0.15858,5650062
1617987600000,0.15857,0.15891,0.15682,0.15714,4060172
1617989400000,0.15711,0.15808,0.15681,0.15713,4211921
1617991200000,0.15713,0.15831,0.15701,0.15724,3903835
1617993000000,0.15719,0.15733,0.15566,0.15709,4478806
1617994800000,0.15694,0.15749,0.15619,0.15749,3160339
1617996600000,0.15749,0.15758,0.15631,0.15690,3110623
1617998400000,0.15696,0.15735,0.15555,0.15561,4092568
1618000200000,0.15564,0.15686,0.15526,0.15650,4269657
1618002000000,0.15649,0.15873,0.15627,0.15873,2548700
1618003800000,0.15873,0.16227,0.15758,0.16060,14996648
1618005600000,0.16063,0.16389,0.15867,0.15911,22558216
1618007400000,0.15917,0.16022,0.15675,0.15730,7350524
1618009200000,0.15730,0.15808,0.15549,0.15740,5212919
1618011000000,0.15740,0.16009,0.15740,0.15776,6988191
1618012800000,0.15778,0.15876,0.15610,0.15639,6265504
1618014600000,0.15631,0.15671,0.15553,0.15644,3855723
1618016400000,0.15647,0.15752,0.15618,0.15666,3651783
1618018200000,0.15668,0.15891,0.15627,0.15762,3977745
1618020000000,0.15763,0.15793,0.15616,0.15717,3192915
1618021800000,0.15716,0.15790,0.15685,0.15751,3026589
1618023600000,0.15751,0.15847,0.15730,0.15833,4071786
1618025400000,0.15825,0.15950,0.15825,0.15950,4090220
1618027200000,0.15949,0.16010,0.15654,0.15735,7208024
1618029000000,0.15734,0.15799,0.15678,0.15678,4320673
1618030800000,0.15685,0.15742,0.15615,0.15704,3297924
1618032600000,0.15704,0.15822,0.15692,0.15763,3131580
1618034400000,0.15767,0.16083,0.15767,0.15985,6708065
1618036200000,0.15979,0.16000,0.15789,0.15789,3741649
1618038000000,0.15790,0.15836,0.15626,0.15644,5754082
1618039800000,0.15639,0.15689,0.15450,0.15479,9188774
1618041600000,0.15481,0.15712,0.15470,0.15692,5888602
1618043400000,0.15708,0.15727,0.15503,0.15561,5811987
1618045200000,0.15571,0.15644,0.15479,0.15519,5049642
1618047000000,0.15520,0.15629,0.15509,0.15568,3134498
1618048800000,0.15583,0.15612,0.15466,0.15478,10541061
1618050600000,0.15491,0.15565,0.15215,0.15392,14661361
1618052400000,0.15392,0.15404,0.15274,0.15336,3028515
1618054200000,0.15324,0.15451,0.15324,0.15446,4123504
1618056000000,0.15446,0.15537,0.15361,0.15412,10593396
1618057800000,0.15411,0.15457,0.15009,0.15148,16762214
1618059600000,0.15151,0.15234,0.15028,0.15055,5317529
1618061400000,0.15056,0.15334,0.15048,0.15281,4919555
1618063200000,0.15269,0.15317,0.15174,0.15240,3454401
1618065000000,0.15240,0.15241,0.15110,0.15160,3039699
1618066800000,0.15169,0.15185,0.15032,0.15125,2736628
1618068600000,0.15125,0.15189,0.15049,0.15098,3957575
1618070400000,0.15096,0.15212,0.14748,0.14820,11606053
1618072200000,0.14822,0.14922,0.14747,0.14835,7131763
1618074000000,0.14831,0.15231,0.14812,0.15200,10367698
1618075800000,0.15194,0.15521,0.15141,0.15305,22448621
1618077600000,0.15310,0.15477,0.14900,0.15296,14817196
1618079400000,0.15284,0.15422,0.15060,0.15081,16164802
1618081200000,0.15080,0.15113,0.15000,0.15022,3665552
1618083000000,0.15021,0.15036,0.14880,0.14885,7942965
1618084800000,0.14882,0.15025,0.14814,0.14920,10329020
1618086600000,0.14922,0.14925,0.14737,0.14802,4660082
1618088400000,0.14797,0.15100,0.14755,0.15087,5128017
1618090200000,0.15077,0.15112,0.14933,0.15038,4086087
1618092000000,0.15042,0.15295,0.15023,0.15191,4601306
1618093800000,0.15189,0.15189,0.14976,0.14978,4079526
1618095600000,0.14978,0.15102,0.14959,0.15025,1675439
1618097400000,0.15023,0.15098,0.15007,0.15063,2425481
1618099200000,0.15076,0.15170,0.14840,0.14847,6377663
1618101000000,0.14839,0.14883,0.14768,0.14784,3153211
1618102800000,0.14783,0.14815,0.14750,0.14797,2707490
1618104600000,0.14796,0.14915,0.14770,0.14870,3704223
1618106400000,0.14863,0.14894,0.14801,0.14806,2166526
1618108200000,0.14807,0.14837,0.14580,0.14650,6707182
1618110000000,0.14646,0.14717,0.14455,0.14486,5940225
1618111800000,0.14487,0.14601,0.14463,0.14520,3445217
1618113600000,0.14525,0.14623,0.14450,0.14571,4311572
1618115400000,0.14561,0.14657,0.14501,0.14557,3538350
1618117200000,0.14557,0.14700,0.14548,0.14559,3903326
1618119000000,0.14556,0.14662,0.14443,0.14447,3897431
1618120800000,0.14448,0.14515,0.14350,0.14442,5604711
1618122600000,0.14446,0.15008,0.14446,0.14755,20337454
1618124400000,0.14754,0.14767,0.14492,0.14606,5563798
1618126200000,0.14609,0.14721,0.14560,0.14686,2214110
1618128000000,0.14694,0.14980,0.14680,0.14946,4434274
1618129800000,0.14948,0.15275,0.14928,0.15195,7382434
1618131600000,0.15204,0.15475,0.15121,0.15341,11573382
1618133400000,0.15345,0.15598,0.15225,0.15260,16850603
1618135200000,0.15258,0.15326,0.15065,0.15074,8743760
1618137000000,0.15076,0.15272,0.15034,0.15209,4282942
1618138800000,0.15196,0.15254,0.15013,0.15091,4736994
1618140600000,0.15080,0.15359,0.15080,0.15331,5010098
